Venue, c1, c2, c3, c4, c5, c6, c7, c8
A LES G01,C1,C2,,,,,,
A LES G01,C3,C4,,,,,,
A LES G01,H1,H2, H3, H4,,,,
A LES G01,I1,I2, I3, I4,,,,
A LES G01,J1, J2, J3, J4,,,,
A LES G01,N1, N2, S1, S2,,,,
A LES G01,N3, N4,,,,,,
A LES G01,O3, O4,,,,,,
B LES 100,C1, C2, L1, L2,,,,
A LES G01,Q1, Q2,,,,,,
A LES G01,Q3, Q4,,,,,,
A LES G01,R3, R4,,,,,,
A LES G02,H3, H4,,,,,,
A LES G02,I1, I2, I3, I4,,,,
A LES G02,J1, J2, J3, J4,,,,
A LES G02,K1, K2,,,,,,
A LES G02,K3, K4,,,,,,
A LES G02,L1, L2,,,,,,
A LES G02,N1, N2, S1, S2,,,,
A LES G02,O1, O2,,,,,,
A LES G02,Q1, Q2, C1, C2,,,,
A LES G02,Z1, Z2, Z3, Z4,,,,
A RING 522,I1, I2, I3, I4,,,,
A RING 610,M1, M2, M3, M4,,,,
A RING 610,P26,,,,,,,
B LES 100,C1, C2, R1, R2,,,,
B LES 100,I1, I2,,,,,,
B LES 100,I3, I4, J1,,,,,
B LES 100,M1, M2, M3, M4,,,,
B LES 100,O1, O2,,,,,,
B LES 100,O1, O2, S1, S2,,,,
