Venue, c1, c2, c3, c4, c5, c6, c7, c8
A LES G01,C1,C2,,,,,,
A LES G01,C3,C4,,,,,,
A LES G01,H1,H2, H3, H4,,,,
A LES G01,I1,I2, I3, I4,,,,
A LES G01,J1, J2, J3, J4,,,,
A LES G01,N1, N2, S1, S2,,,,
A LES G01,N3, N4,,,,,,
A LES G01,O3, O4,,,,,,
A LES G01,Q1, Q2,,,,,,
A LES G01,Q3, Q4,,,,,,
A LES G01,R3, R4,,,,,,
A LES G02,H3, H4,,,,,,
A LES G02,I1, I2, I3, I4,,,,
A LES G02,J1, J2, J3, J4,,,,
A LES G02,K1, K2,,,,,,
A LES G02,K3, K4,,,,,,
A LES G02,L1, L2,,,,,,
A LES G02,N1, N2, S1, S2,,,,
A LES G02,O1, O2,,,,,,
A LES G02,Q1, Q2, C1, C2,,,,
A LES G02,Z1, Z2, Z3, Z4,,,,
A RING 522,I1, I2, I3, I4,,,,
A RING 610,M1, M2, M3, M4,,,,
A RING 610,P26,,,,,,,
B LES 100,C1, C2, L1, L2,,,,
B LES 100,C1, C2, R1, R2,,,,
B LES 100,I1, I2,,,,,,
B LES 100,I3, I4, J1,,,,,
B LES 100,M1, M2, M3, M4,,,,
B LES 100,O1, O2,,,,,,
B LES 100,O1, O2, S1, S2,,,,
B LES 100,P29,P30,,,,,,
B LES 100,Q1, Q2, I3, I4,,,,
B LES 100,R1, R2,,,,,,
B LES 100,T3, T4,,,,,,
B LES 100,Z1, Z2, Z3, Z4,,,,
B LES 101,L1, L2,,,,,,
B LES 101,N1, N2,,,,,,
B LES 101,Q1, M3, Q3,,,,,
B LES 101,T1,,,,,,,
B LES 101,T3, T4,,,,,,
B LES 101,Z3, Z4,,,,,,
B LES 103,I1, I2,,,,,,
B LES 103,K3, K4,,,,,,
B LES 103,P6,P7,,,,,,
B LES 103,Q4, O4,,,,,,
B LES 104,C3, C4,,,,,,
B LES 104,H2, R3,,,,,,
B LES 104,I1, I2,,,,,,
B LES 104,M1, M2, M3, M4,,,,
B LES 104,M4,,,,,,,
B LES 104,Z1, Q3, Q4,,,,,
B LES 104,Z3, Z4,,,,,,
B RING 301,O1,,,,,,,
B RING 709,K2, R1,,,,,,
B RING 712,N1,,,,,,,
B RING 712,N2, N3, N4,,,,,
B RING 712,Q1,,,,,,,
B RING 712,Q2, Q3, Q4,,,,,
B RING 712,S2, S3, S4,,,,,
B RING 726,I2,,,,,,,
B RING 726,J2,,,,,,,
B RING 726,O1,,,,,,,
B RING 726,R3,,,,,,,
B RING 726,S1,,,,,,,
B RING 726,Z1,,,,,,,
B1 LAB 204,I1, I2,,,,,,
B1 LAB 204,M1, M2, M3, M4,,,,
B1 LAB 204,P1,P2,P3,P4,,,,
B1 LAB 204,P8,P9,,,,,,
B2 LAB 117 FEBE COMP LAB,P1,P2,P3,P4,,,,
B2 LAB 117 FEBE COMP LAB,P6,P7,P8,,,,,
B2 LAB 117 FEBE COMP LAB,P8,P9,,,,,,
B2 LAB 119 FEBE COMP LAB,G1, N1, N2,,,,,
B2 LAB 119 FEBE COMP LAB,M1, M3, M4,,,,,
B2 LAB 119 FEBE COMP LAB,O1, Q4, O4,,,,,
B2 LAB 119 FEBE COMP LAB,O3, O4,,,,,,
B2 LAB 119 FEBE COMP LAB,P17,P18,P19,P20,,,,
B2 LAB 119 FEBE COMP LAB,P21,P22,P23,P24,,,,
B2 LAB 119 FEBE COMP LAB,P29,P30,P31,P32,,,,
