"",
"J3, J4",B LES 101
"J1, J2",D LES 201
"T1, T2",D1 LAB 409
"N1, N2",D1 LAB 401
"M1, M2",D1 LAB 401
"M1, M2",C LES 307
"H2, R3",B LES 104
"L1, L2",D1 LAB 416
"R1, R2",D1 LAB 416
"Q3, Q4",D1 LAB 409
"C3, C4",C LES 203
"T1, T2",D1 LAB 416
"C3, C4",B LES 104
"N1, N2",C LES 304
"M1, M2",D LES 403
"O1, O2",C LES 304
"T1, T2",D1 LAB 402
"T2, S1",D LES 304
"R1, R2",C LES 307
"R1, R2",D LES 410
"C1, C2",D LES 310
"Q3, Q4",D LES 406
"C3, C4",C LES 310
"",
"Z1, Z2, Z3, Z4",A LES G01
M1,C LES 306
M1,D LES 311
M1,D LES 310
M1,D LES 411
M2,D1 LAB 409
M2,D1 LAB 410
M2,D1 LAB 412
M2,D1 LAB 413
M1,D LES 410
M2,D1 LAB 408
"",
"Z1, Z2, Z3, Z4",A LES G02
"J1, J2, J3, J4",A LES G02
P15-16,E LES 100
P15-16,D1 LAB K08
P15-16,D LAB BASEMENT K01
"Q1, Q2",C LES 102
P21-22,D1 LAB K08
P13-14,C LES 402
"",
"Z1, Z2, Z3, Z4",A LES G02
"J1, J2, J3, J4",A LES G02
P15-16,E LES 100
P15-16,D LAB BASEMENT K01
P15-16,D LES 102
"Q1, Q2",C LES 102
P21-22,D LES 103
P13-14,D1 LAB K08
"",
"Z1, Z2, H3, H4",D LAB BASEMENT K03
K1,C LES 404
K2,C LES 404
N1,D1 LAB 416
N2,D1 LAB 416
I1,D1 LAB 416
I2,D1 LAB 416
J1,D LES 309
J2,C LES 306
T3,D LES 404
K1,C LES 307
"",
"I1, I2, I3, I4",A LES G02
"H1, H2, J1, J2",C LES 101
O1,D1 LAB 409
O1,D1 LAB 410
O1,D1 LAB 411
O1,D1 LAB 412
O2,D1 LAB 413
O2,D1 LAB 410
O2,D1 LAB 411
O2,D1 LAB 412
K1,D1 LAB 403
K2,D1 LAB 414
N1,D1 LAB 415
N2,D1 LAB 415
G2,D1 LAB 415
